producto_original,producto_normalizado
OLD PARR 0.75 G,OLD PARR 0 75
VINO TINTO LOS COCHES MERLOT,VINO TINTO LOS COCHES MERLOT
COCUY PECAYERO INDIO SUNERE,COCUY PECAYERO INDIO SUNERE
RON AÑEJO CALAZAN C/VASO,RON AÑEJO CALAZAN C/VASO
RON AÑEJO CALAZAN SPECIAL 0.70,RON AÑEJO CALAZAN SPECIAL 0 70
VT FINCA EL PORTILLO 0.75,VT FINCA EL PORTILLO 0 75
WEB ABADIA DEL ROBLE TINTO,WEB ABADIA DEL ROBLE TINTO
VINO BLANCO BUENOS AIRES CHARDONNAY,VINO BLANCO BUENOS AIRES CHARDONNAY
VT CARMEN INSIGNE CABERNET SAUVIG,VT CARMEN INSIGNE CABERNET SAUVIG
COINTREAU 1,COINTREAU
LIMONCELLO TOSCANA,LIMONCELLO TOSCANA
LIMONCELLO PALLINI 1T G,LIMONCELLO PALLINI 1
ETIQUETA NEGRA 0.75,ETIQUETA NEGRA 0 75
RON CACIQUE 500 G,RON CACIQUE 500
SERENA BRUT 0.75 ESPUMANTE,SERENA BRUT 0 75 ESPUMANTE
ETIQUETA NEGRA EXENTO 0.75,ETIQUETA NEGRA EXENTO 0 75
TEQUILA CUERVO GOLD GRAVABLE,TEQUILA CUERVO GOLD GRAVABLE
VINO TINTO MERLOT LA HUERTA,VINO TINTO MERLOT LA HUERTA
VT GATO CABERNET SAUVIGNON LA HUERTA,VT GATO CABERNET SAUVIGNON LA HUERTA
VS GATO MERLOT E,VS GATO MERLOT
VINO M ALT ROMERO 0.70,VINO M ALT ROMERO 0 70
MIONETTO APERITIVO 0 5L G,MIONETTO APERITIVO 0
VINO BLANCO LINDA MORA CHARDONNAY,VINO BLANCO LINDA MORA CHARDONNAY
BUCHANANS DE LUX 0.75T,BUCHANANS DE LUX 0 75T
BUCHANAS 18 AÑOS 0.75,BUCHANAS 18 AÑOS 0 75
RON CANCILLER DORADO 1T,RON CANCILLER DORADO 1T
